object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of,,,,,,,
Ocean,0.882,1,-,-,-,Aquatic,-,o,-,,,,,,,
Office_Chair,0.881,1,-,-,-,Home,-,s,Chair,,,,,,,
Grasses,0.878,1,-,-,-,Nature,-,s,Grass,,,,,,,
Aerospace_Engineering,0.876,1,-,-,-,Flight,-,o,-,,,,,,,
Sea,0.866,1,-,-,-,Aquatic,-,o,-,,,,,,,
Dolphin,0.854,1,-,-,-,Aquatic,-,o,-,,,,,,,
Personal_Care,0.848,1,y,non_descript,-,-,-,-,-,,,,,,,
Carbonated_Soft_Drinks,0.844,1,-,-,Soda,Drink,-,o,-,,,,,,,
Aircraft,0.842,1,-,-,-,Flight,-,o,-,,,,,,,
Cartoon,0.839,1,-,-,-,Design,-,o,-,,,,,,,
Apartment,0.838,1,-,-,-,City,-,o,-,,,,,,,
Tower,0.831,1,-,-,-,City,-,o,-,,,,,,,
Aviation,0.829,1,-,-,-,Flight,-,o,-,,,,,,,
Natural_Material,0.828,1,-,-,-,Material,-,o,-,,,,,,,
Pomacentridae,0.82,1,-,-,-,Aquatic,-,s,Fish,,,,,,,
Garden,0.819,1,-,-,-,Nature,-,o,-,,,,,,,
Sunlight,0.797,1,-,-,-,Weather,-,o,-,,,,,,,
Berry,0.792,1,-,-,-,Food,-,o,-,,,,,,,
Display_Case,0.79,1,-,-,-,Object,-,o,-,,,,,,,
Fixed-Wing_Aircraft,0.786,1,-,-,-,Flight,-,s,Aircraft,,,,,,,
Led-Backlit_Lcd,0.767,1,-,-,-,Tech,-,s,Display_Device,,,,,,,
Fish_Supply,0.745,1,-,-,-,Aquatic,-,s,Aquarium,,,,,,,
Eco_Hotel,0.744,1,-,-,-,City,-,s,Hotel,,,,,,,
Marble,0.739,1,-,-,-,Material,-,o,-,,,,,,,
Travel,0.736,1,-,-,-,Flight,-,s,Air_Travel,,,,,,,
Soccer_Ball,0.734,1,-,-,-,Sports,-,o,-,,,,,,,
Non-Alcoholic_Drink,0.718,1,-,-,-,Drink,-,o,-,,,,,,,
Television,0.712,1,-,-,-,Tech,-,o,-,,,,,,,
Lobby,0.706,1,-,-,-,Interior_Design,-,o,-,,,,,,,
Reservoir,0.701,1,-,-,-,Nature,-,o,-,,,,,,,
Tabletop_Game,0.7,1,-,-,-,Game,-,o,-,,,,,,,
Water_Bottle,0.697,1,-,-,-,Drink,-,s,Bottle,,,,,,,
Silver,0.695,1,y,color,-,-,-,-,-,,,,,,,
Shade,0.692,1,-,-,-,Lighting,-,o,-,,,,,,,
Prairie,0.69,1,-,-,-,Nature,-,o,-,,,,,,,
Bead,0.688,1,-,-,-,Object,-,o,-,,,,,,,
Landscaping,0.676,1,-,-,-,Home,-,o,-,,,,,,,
Ray-Finned_Fishes,0.675,1,-,-,-,Aquatic,-,s,Fish,,,,,,,
Strawberries,0.674,1,-,-,-,Food,-,s,Strawberry,,,,,,,
Bottlenose_Dolphin,0.672,1,-,-,-,Aquatic,-,s,Dolphin,,,,,,,
Board_Game,0.669,1,-,-,-,Game,-,o,-,,,,,,,
Indoor_Games_And_Sports,0.666,1,-,-,-,Game,-,s,Tabletop_Game,,,,,,,
Household_Supply,0.663,1,y,non_descript,-,-,-,-,-,,,,,,,
Lcd_Television,0.656,1,-,-,-,Tech,-,s,Display_Device,,,,,,,
Strawberry,0.656,1,-,-,-,Food,-,o,-,,,,,,,
Bony_Fishes,0.638,1,-,-,-,Aquatic,-,s,Fish,,,,,,,
Hourglass,0.637,1,-,-,-,Object,-,o,-,,,,,,,
Display_Advertising,0.636,1,-,-,-,Media,-,s,Advertising,,,,,,,
Video_Game_Console,0.633,1,-,-,-,Tech,-,s,Video_Games,,,,,,,
Macro_Photography,0.632,1,-,-,-,Nature,-,o,-,,,,,,,
Palm_Trees,0.632,1,-,-,-,Nature,-,o,-,,,,,,,
Paint,0.623,1,-,-,-,Art,-,o,-,,,,,,,
Daylighting,0.621,1,-,-,-,Weather,-,s,Sunlight,,,,,,,
Gemstone,0.62,1,-,-,-,Fashion,-,o,-,,,,,,,
Carpet,0.619,1,-,-,-,Home,-,o,-,,,,,,,
Wii,0.598,1,-,-,-,Tech,-,s,Video_Games,,,,,,,
Precipitation,0.593,1,-,-,-,Weather,-,o,-,,,,,,,
Marine_Invertebrates,0.592,1,-,-,-,Aquatic,-,o,-,,,,,,,
Online_Advertising,0.588,1,-,-,-,Media,-,s,Advertising,,,,,,,
Couch,0.577,1,-,-,-,Home,-,o,-,,,,,,,
Intersection,0.576,1,-,-,-,City,-,o,-,,,,,,,
Transparency,0.576,1,y,non_descript,-,-,-,-,-,,,,,,,
Computer_Program,0.574,1,-,-,-,Tech,-,s,Software,,,,,,,
Wind_Wave,0.568,1,-,-,-,Weather,-,s,Wave,,,,,,,
Plantation,0.548,1,-,-,-,Farming,-,s,Field,,,,,,,
Skyline,0.547,1,-,-,-,City,-,o,-,,,,,,,
Chessboard,0.54,1,-,-,-,Game,-,s,Chess,,,,,,,
Dome,0.537,1,-,-,-,City,-,o,-,,,,,,,
Waiting_Room,0.534,1,-,-,-,Interior_Design,-,o,-,,,,,,,
Balance,0.526,1,y,non_descript,-,-,-,-,-,,,,,,,
Lens_Flare,0.526,1,-,-,-,Lighting,-,o,-,,,,,,,
Recreational_Vehicle,0.512,1,-,-,-,Transport,-,o,-,,,,,,,
Herb,0.505,1,-,-,-,Nature,-,o,-,,,,,,,
Highway,0.503,1,-,-,-,City,-,o,-,,,,,,,
Party_Supply,0.501,1,y,non_descript,-,-,-,-,-,,,,,,,
Plumbing_Fixture,0.501,1,-,-,-,Interior_Design,-,o,-,,,,,,,
Wave,0.5,1,-,-,-,Weather,-,o,-,,,,,,,
